gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_2030	hspX	Alpha-crystallin small heat shock protein HspX / Acr	DosR_Stress	0.3301	1.0000e-15	2.6087e-14	NO
MMAR_1120	clpP1	ATP-dependent Clp protease proteolytic subunit 1	Simulator_Divergent	1.5688	1.0000e-15	2.6087e-14	YES
MMAR_1121	clpP2	ATP-dependent Clp protease proteolytic subunit 2	Simulator_Divergent	1.3225	1.0000e-15	2.6087e-14	YES
MMAR_3120	dnaK	Molecular chaperone DnaK (Hsp70 family)	Simulator_Divergent	1.6880	1.0000e-15	2.6087e-14	YES
MMAR_3121	grpE	Heat shock protein GrpE (DnaK nucleotide exchange)	Simulator_Divergent	1.6532	1.0000e-15	2.6087e-14	YES
MMAR_1340	recA	Recombinase RecA (DNA repair & shear stress)	Simulator_Divergent	1.6502	1.0000e-15	2.6087e-14	YES
MMAR_4420	cydA	Cytochrome bd ubiquinol oxidase subunit I	Simulator_Divergent	-1.6579	1.0000e-15	2.6087e-14	YES
MMAR_4421	cydB	Cytochrome bd ubiquinol oxidase subunit II	Simulator_Divergent	-1.7119	1.0000e-15	2.6087e-14	YES
MMAR_0820	icl1	Isocitrate lyase Icl1 (glyoxylate shunt)	Simulator_Divergent	-1.5140	1.0000e-15	2.6087e-14	YES
MMAR_0096	mmp_96	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0096	Background_Genome	0.2509	1.0000e-15	2.6087e-14	NO
MMAR_0125	mmp_125	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0125	Background_Genome	0.3345	1.0000e-15	2.6087e-14	NO
MMAR_0146	mmp_146	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0146	Background_Genome	-0.6700	1.0000e-15	2.6087e-14	NO
MMAR_0169	mmp_169	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0169	Background_Genome	-0.4893	1.0000e-15	2.6087e-14	NO
MMAR_0200	mmp_200	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0200	Background_Genome	0.4139	1.0000e-15	2.6087e-14	NO
MMAR_0281	mmp_281	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0281	Background_Genome	-0.7988	1.0000e-15	2.6087e-14	YES
MMAR_0351	mmp_351	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0351	Background_Genome	0.9304	1.0000e-15	2.6087e-14	YES
MMAR_0486	mmp_486	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0486	Background_Genome	0.4859	1.0000e-15	2.6087e-14	NO
MMAR_0503	mmp_503	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0503	Background_Genome	-0.6841	1.0000e-15	2.6087e-14	NO
MMAR_0508	mmp_508	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0508	Background_Genome	-0.3984	1.0000e-15	2.6087e-14	NO
MMAR_0517	mmp_517	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0517	Background_Genome	-0.3233	1.0000e-15	2.6087e-14	NO
MMAR_0540	mmp_540	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0540	Background_Genome	0.5817	1.0000e-15	2.6087e-14	NO
MMAR_0579	mmp_579	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0579	Background_Genome	-0.1781	1.0000e-15	2.6087e-14	NO
MMAR_0585	mmp_585	Hypothetical protein / putative uncharacterized oxidoreductase MMAR_0585	Background_Genome	0.5219	1.0000e-15	2.6087e-14	NO
